# TRADING CODE LTP* HIGH LOW CLOSEP* YCP* CHANGE TRADE VALUE (mn) VOLUME	
1	BEACHHATCH	96.7	101.5	93	96.7	94.7	2	3,377	159.3220	1,621,176	
2	UTTARABANK	25.2	25.4	25	25.2	25.3	-0.1	1,504	154.4200	6,135,936	
3	MIDLANDBNK	17.7	17.9	16.1	17.7	16.3	1.4	2,299	120.2830	6,850,905	
4	BSC	93.3	94.8	91.9	93.3	93.7	-0.4	2,892	118.5250	1,273,222	
5	NRBBANK	13.4	13.6	12.5	13.4	12.5	0.9	1,288	83.2770	6,238,690	
6	BXPHARMA	95.2	97	94.8	95.2	95	0.2	1,830	82.1640	861,016	
7	LOVELLO	80.8	81.1	79.7	80.8	79.5	1.3	1,486	80.0780	993,149	
8	EASTRNLUB	2	2,650	2,480	2,504.3	2	-20.5	2,606	78.3860	30,469	
9	SPCERAMICS	22.4	24.4	22	22.4	24	-1.6	2,700	75.6850	3,269,869	
10	ABB1STMF	5.1	5.2	4.8	5.1	4.9	0.2	1,047	74.4420	14,902,091	
11	SPCL	38.3	39.9	37.5	38.3	37.6	0.7	2,217	72.5090	1,871,281	
12	EBL	27.1	27.1	27	27.1	27.1	0	408	55.6860	2,057,395	
13	KBPPWBIL	134.7	138.6	130	134.7	133.2	1.5	1,936	52.0340	384,370	
14	DGIC	31.6	32.5	29	31.6	29.7	1.9	1,266	43.1500	1,411,281	
15	INTRACO	23.1	23.6	22.5	23.1	22.8	0.3	981	39.5120	1,702,112	
16	ACI	194.6	204.4	191.1	194.6	204	-9.4	1,271	38.6440	196,783	
17	LHB	45	45.8	44.9	45	45.2	-0.2	1,205	36.0930	799,929	
18	MALEKSPIN	26	26.7	26	26	26.2	-0.2	772	34.2400	1,308,927	
19	HEIDELBCEM	264.2	294	263.3	264.2	288.4	-24.2	1,520	33.5090	123,062	
20	ORIONINFU	387.6	392.3	385.7	387.6	387.7	-0.1	1,051	32.7750	84,415	
21	HAKKANIPUL	60.4	62	58.6	60.4	58.4	2	1,759	31.6470	524,798	
22	RELIANCE1	20	21.4	19.7	20	21.3	-1.3	504	31.0540	1,509,431	
23	IPDC	16.7	17.4	16.6	16.7	16.5	0.2	745	29.2730	1,722,071	
24	SALAMCRST	22	24.1	21.8	22	23.6	-1.6	1,375	28.2410	1,243,278	
25	AIL	45.1	45.4	44.2	45.1	44.1	1	1,942	27.6580	616,074	
26	BATBC	323.3	323.9	322.1	323.3	322.5	0.8	694	23.8160	73,751	
27	GLOBALINS	29.3	29.7	28.6	29.3	28.8	0.5	805	23.7180	815,051	
28	CVOPRL	152.6	153.5	149.6	152.6	150.6	2	1,156	23.7080	155,758	
29	SEAPEARL	37.7	39.7	34.7	37.7	38.4	-0.7	597	23.2710	608,248	
30	IFIC	6.8	7	6.7	6.8	6.8	0	415	23.0800	3,373,189	
31	NAVANAPHAR	55.4	56	54.7	55.4	54.9	0.5	908	21.6160	391,113	
32	EIL	52.3	54	51.4	52.3	53.5	-1.2	404	21.3880	408,037	
33	SONALIPAPR	154.1	157	154	154.1	156.1	-2	1,086	20.8230	134,405	
34	FINEFOODS	190.1	191.3	188.9	190.1	190	0.1	613	20.3970	107,096	
35	JAMUNABANK	19.4	19.4	19	19.3	19.2	0.2	336	20.1110	1,049,708	
36	MAGURAPLEX	76.4	80.5	76	76.4	79.8	-3.4	1,125	19.9840	258,107	
37	BESTHLDNG	17.3	17.6	17.2	17.3	17.4	-0.1	559	18.7750	1,080,292	
38	SHAHJABANK	18.4	18.6	18.2	18.4	18.3	0.1	178	17.8770	972,489	
39	SONALIANSH	182.5	189.8	181.5	182.5	187.1	-4.6	1,224	17.6470	95,723	
40	ROBI	25.7	26	25.6	25.7	25.8	-0.1	493	17.6270	685,517	
41	SUNLIFEINS	67.7	68	66.2	67.7	66.5	1.2	282	17.5150	259,498	
42	PREMIERCEM	60	60.2	58.8	60	58.7	1.3	552	17.1620	287,515	
43	NTLTUBES	82	84.5	81.6	82	84.1	-2.1	725	16.5110	199,851	
